[V]1;ROME;483;515;1;ROME
[V]2;B2;485;400;2;BLEU
[V]3;B8;450;293;8;BLEU
[V]4;B6;364;306;6;BLEU
[V]5;B3;336;415;3;BLEU
[V]6;B4;411;401;4;BLEU
[V]7;G2;560;327;2;GRIS
[V]8;G4;630;372;4;GRIS
[V]9;G0;633;478;0;GRIS
[V]10;G3;666;570;3;GRIS
[V]11;G1;649;673;1;GRIS
[V]12;J3;748;385;3;JAUNE
[V]13;J1;769;491;1;JAUNE
[V]14;J4;857;491;4;JAUNE
[V]15;J2;853;641;2;JAUNE
[V]16;J5;767;647;5;JAUNE
[V]17;M1;548;575;1;MARRON
[V]18;M4;465;605;4;MARRON
[V]19;M3;360;601;3;MARRON
[V]20;M2;414;501;2;MARRON
[V]21;M5;248;601;5;MARRON
[V]22;R1;277;369;1;ROUGE
[V]23;R3;198;369;3;ROUGE
[V]24;R5;108;363;5;ROUGE
[V]25;R4;117;506;4;ROUGE
[V]26;R2;196;502;2;ROUGE
[V]27;V6;273;273;6;VERT
[V]28;V2;347;204;2;VERT
[V]29;V3;431;195;3;VERT
[V]30;V4;364;106;4;VERT
[V]31;V8;283;120;8;VERT
[V]32;V4.2;448;96;4;VERT
[R]1;1;2
[R]1;1;20
[R]1;1;17
[R]2;1;9
[R]1;2;6
[R]1;5;6
[R]1;5;4
[R]1;4;3
[R]1;3;6
[R]1;3;2
[R]1;2;7
[R]1;8;7
[R]2;8;12
[R]2;12;14
[R]2;14;15
[R]1;16;15
[R]2;13;16
[R]2;11;16
[R]1;11;10
[R]2;10;13
[R]2;9;13
[R]1;9;10
[R]2;11;17
[R]1;18;17
[R]2;19;20
[R]2;18;19
[R]2;21;19
[R]1;8;9
[R]1;25;26
[R]2;24;25
[R]1;24;23
[R]1;23;22
[R]2;22;26
[R]1;22;5
[R]1;22;4
[R]1;5;20
[R]1;27;4
[R]1;27;23
[R]2;27;24
[R]1;27;28
[R]1;28;4
[R]1;3;29
[R]1;30;29
[R]1;30;31
[R]1;31;28
[R]1;28;29
[R]1;28;30
[R]1;26;21
[R]2;32;30
[R]1;32;29
[R]1;14;13
